2,940	0.4 %	227,540
48	Yemen	29,825,964	0.4 %	527,970
49	Nepal	29,136,808	0.4 %	143,350
50	Venezuela	28,435,940	0.4 %	882,050
51	Madagascar	27,691,018	0.4 %	581,795
52	Cameroon	26,545,863	0.3 %	472,710
53	Côte d'Ivoire	26,378,274	0.3 %	318,000
54	North Korea	25,778,816	0.3 %	120,410
55	Australia	25,499,884	0.3 %	7,682,300
56	Niger	24,206,644	0.3 %	1,266,700
57	Sri Lanka	21,413,249	0.3 %	62,710
58	Burkina Faso	20,903,273	0.3 %	273,600
59	Mali	20,250,833	0.3 %	1,220,190
60	Romania	19,237,691	0.2 %	230,170
61	Malawi	19,129,952	0.2 %	94,280
62	Chile	19,116,201	0.2 %	743,532
63	Kazakhstan	18,776,707	0.2 %	2,699,700
64	Zambia	18,383,955	0.2 %	743,390
65	Guatemala	17,915,568	0.2 %	107,160
66	Ecuador	17,643,054	0.2 %	248,360
67	Syria	17,500,658	0.2 %	183,630
68	Netherlands	17,134,872	0.2 %	33,720
69	Senegal	16,743,927	0.2 %	192,530
70	Cambodia	16,718,965	0.2 %	176,520
71	Chad	16,425,864	0.2 %	1,259,200
72	Somalia	15,893,222	0.2 %	627,340
73	Zimbabwe	14,862,924	0.2 %	386,850
74	Guinea	13,132,795	0.2 %	245,720
75	Rwanda	12,952,218	0.2 %	24,670
76	Benin	12,123,200	0.2 %	112,760
77	Burundi	11,890,784	0.2 %	25,680
78	Tunisia	11,818,619	0.2 %	155,360
79	Bolivia	11,673,021	0.1 %	1,083,300
80	Belgium	11,589,623	0.1 %	30,280
81	Haiti	11,402,528	0.1 %	27,560
82	Cuba	11,326,616	0.1 %	106,440
83	South Sudan	11,193,725	0.1 %	610,952
84	Dominican Republic	10,847,910	0.1 %	48,320
85	Czech Republic (Czechia)	10,708,981	0.1 %	77,240
86	Greece	10,423,054	0.1 %	128,900
87	Jordan	10,203,134	0.1 %	88,780
88	Portugal	10,196,709	0.1 %	91,590
89	Azerbaijan	10,139,177	0.1 %	82,658
90	Sweden	10,099,265	0.1 %	410,340
91	Honduras	9,904,607	0.1 %	111,890
92	United Arab Emirates	9,890,402	0.1 %	83,600
93	Hungary	9,660,351	0.1 %	90,530
94	Tajikist
